"","Species","Latitude","Longitude","WnvPresent","Tmax","Tmin","Tavg","Depart","DewPoint","WetBulb","Heat","Cool","Sunrise","Sunset","CodeSum","PrecipTotal","StnPressure","SeaLevel","ResultSpeed","ResultDir","AvgSpeed"
"1","CULEX PIPIENS/RESTUANS",41.95469,-87.800991,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"2","CULEX RESTUANS",41.95469,-87.800991,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"3","CULEX RESTUANS",41.994991,-87.769279,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"4","CULEX PIPIENS/RESTUANS",41.974089,-87.824812,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"5","CULEX RESTUANS",41.974089,-87.824812,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"6","CULEX RESTUANS",41.9216,-87.666455,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"7","CULEX RESTUANS",41.891118,-87.654491,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"8","CULEX PIPIENS/RESTUANS",41.867108,-87.654224,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"9","CULEX RESTUANS",41.867108,-87.654224,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"10","CULEX RESTUANS",41.896282,-87.655232,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"11","CULEX PIPIENS/RESTUANS",41.919343,-87.694259,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"12","CULEX PIPIENS/RESTUANS",41.921965,-87.632085,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"13","CULEX RESTUANS",41.921965,-87.632085,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"14","CULEX PIPIENS/RESTUANS",41.688324,-87.676709,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
