Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
1,5/1/2007,83,50,67,14,51,56,0,2,448,1849, ,0,NA,0,0,29.1,29.82,1.7,27,9.2
2,5/1/2007,84,52,68,NA,51,57,0,3,NA,NA, ,NA,NA,NA,0,29.18,29.82,2.7,25,9.6
1,5/2/2007,59,42,51,-3,42,47,14,0,447,1850,BR,0,NA,0,0,29.38,30.09,13,4,13.4
2,5/2/2007,60,43,52,NA,42,47,13,0,NA,NA,BR HZ,NA,NA,NA,0,29.44,30.08,13.3,2,13.4
1,5/3/2007,66,46,56,2,40,48,9,0,446,1851, ,0,NA,0,0,29.39,30.12,11.7,7,11.9
2,5/3/2007,67,48,58,NA,40,50,7,0,NA,NA,HZ,NA,NA,NA,0,29.46,30.12,12.9,6,13.2
1,5/4/2007,66,49,58,4,41,50,7,0,444,1852,RA,0,NA,0,0,29.31,30.05,10.4,8,10.8
2,5/4/2007,78,51,NA,NA,42,50,NA,NA,NA,NA, ,NA,NA,NA,0,29.36,30.04,10.1,7,10.4
1,5/5/2007,66,53,60,5,38,49,5,0,443,1853, ,0,NA,0,0,29.4,30.1,11.7,7,12
2,5/5/2007,66,54,60,NA,39,50,5,0,NA,NA, ,NA,NA,NA,0,29.46,30.09,11.2,7,11.5
1,5/6/2007,68,49,59,4,30,46,6,0,442,1855, ,0,NA,0,0,29.57,30.29,14.4,11,15
2,5/6/2007,68,52,60,NA,30,46,5,0,NA,NA, ,NA,NA,NA,0,29.62,30.28,13.8,10,14.5
1,5/7/2007,83,47,65,10,41,54,0,0,441,1856,RA,0,NA,0,0,29.38,30.12,8.6,18,10.5
2,5/7/2007,84,50,67,NA,39,53,0,2,NA,NA, ,NA,NA,NA,0,29.44,30.12,8.5,17,9.9
1,5/8/2007,82,54,68,12,58,62,0,3,439,1857,BR,0,NA,0,0,29.29,30.03,2.7,11,5.8
2,5/8/2007,80,60,70,NA,57,63,0,5,NA,NA,HZ,NA,NA,NA,0,29.36,30.02,2.5,8,5.4
1,5/9/2007,77,61,69,13,59,63,0,4,438,1858,BR HZ,0,NA,0,0.13,29.21,29.94,3.9,9,6.2
2,5/9/2007,76,63,70,NA,60,63,0,5,NA,NA,BR HZ,NA,NA,NA,0.02,29.28,29.93,3.9,7,5.9
1,5/10/2007,84,56,70,14,52,60,0,5,437,1859,BR,0,NA,0,0,29.2,29.92,0.7,17,4.1
2,5/10/2007,83,59,71,NA,52,61,0,6,NA,NA,BR HZ,NA,NA,NA,0,29.26,29.91,2,9,3.9
1,5/11/2007,70,51,61,4,42,51,4,0,436,1860, ,0,NA,0,0,29.33,30.04,11.3,3,12.9
2,5/11/2007,73,49,61,NA,44,51,4,0,NA,NA, ,NA,NA,NA,0,29.39,30.03,11.7,36,12.8
1,5/12/2007,64,46,55,-2,36,46,10,0,435,1901, ,0,NA,0,0,29.49,30.2,12.4,3,12.9
2,5/12/2007,65,47,56,NA,37,46,9,0,NA,NA, ,NA,NA,NA,0,29.54,30.19,12.7,1,13
1,5/13/2007,69,43,56,-2,33,46,9,0,434,1902, ,0,NA,0,0,29.49,30.24,6.6,14,8.1
2,5/13/2007,69,44,57,NA,32,46,8,0,NA,NA, ,NA,NA,NA,0,29.55,30.24,6.4,11,7.6
1,5/14/2007,90,56,73,15,47,59,0,8,433,1903, ,0,NA,0,0,29.23,29.97,16.9,21,17.3
2,5/14/2007,90,54,72,NA,45,58,0,7,NA,NA, ,NA,NA,NA,0,29.31,29.98,14.1,21,14.6
1,5/15/2007,80,57,69,11,56,61,0,4,432,1904,RA BR,0,NA,0,0.38,29.13,29.84,8.1,27,12.3
2,5/15/2007,82,56,69,NA,56,61,0,4,NA,NA,TSRA RA BR,NA,NA,NA,0.6,29.19,29.83,8.1,25,10.8
1,5/16/2007,66,44,55,-4,43,48,10,0,431,1905,RA BR,0,NA,0,0.14,29.33,30.03,7.8,36,12.2
2,5/16/2007,64,45,55,NA,42,47,10,0,NA,NA,RA BR,NA,NA,NA,0.07,29.39,30.03,8,36,11.8
1,5/17/2007,62,43,53,-6,32,43,12,0,430,1906, ,0,NA,0,0,29.55,30.27,10.5,3,11.3
2,5/17/2007,61,44,53,NA,32,43,12,0,NA,NA, ,NA,NA,NA,0,29.62,30.27,11.7,1,12.2
1,5/18/2007,71,42,57,-3,30,46,8,0,429,1907, ,0,NA,0,0,29.53,30.25,5.4,25,7.5
2,5/18/2007,70,43,57,NA,31,47,8,0,NA,NA, ,NA,NA,NA,0,29.6,30.26,3.4,22,5.5
1,5/19/2007,80,56,68,8,39,53,0,3,428,1908, ,0,NA,0,0,29.34,30.08,11.1,24,11.4
2,5/19/2007,80,56,68,NA,37,53,0,3,NA,NA, ,NA,NA,NA,0,29.41,30.08,11.1,23,11.4
1,5/20/2007,69,43,56,-5,40,44,9,0,427,1909,RA VCTS,0,NA,0,0.07,29.38,30.11,10.4,4,10.7
2,5/20/2007,69,44,57,NA,41,45,8,0,NA,NA,TSRA RA,NA,NA,NA,0.11,29.44,30.11,8.6,3,9.7
1,5/21/2007,80,44,62,1,50,56,3,0,426,1910, ,0,NA,0,0,29.33,30.06,6.3,11,8.2
2,5/21/2007,79,46,63,NA,50,57,2,0,NA,NA, ,NA,NA,NA,0,29.39,30.05,6.3,10,7.8
1,5/22/2007,87,55,71,10,46,58,0,6,425,1911, ,0,NA,0,0,29.34,30.06,10,18,10.2
2,5/22/2007,87,60,74,NA,44,58,0,9,NA,NA, ,NA,NA,NA,0,29.41,30.05,10.1,16,10.6
1,5/23/2007,89,60,75,14,49,61,0,10,425,1912, ,0,NA,0,0,29.39,30.1,11.4,19,11.8
2,5/23/2007,89,66,78,NA,48,61,0,13,NA,NA, ,NA,NA,NA,0,29.47,30.1,10.9,18,11.2
1,5/24/2007,88,63,76,14,54,63,0,11,424,1913,RA HZ,0,NA,0,0.02,29.41,30.11,14.9,21,17.3
2,5/24/2007,88,66,77,NA,53,63,0,12,NA,NA,RA HZ,NA,NA,NA,0,29.47,30.1,13.8,20,15.2
1,5/25/2007,70,56,63,1,44,53,2,0,423,1914, ,0,NA,0,0,29.51,30.24,4.9,5,8.8
2,5/25/2007,66,57,62,NA,46,53,3,0,NA,NA,RA BR,NA,NA,NA,0.09,29.57,30.23,4.5,5,8.2
1,5/26/2007,65,49,57,-5,55,56,8,0,422,1915,TSRA RA BR HZ,0,NA,0,1.01,29.36,30.11,2.8,17,7.2
2,5/26/2007,70,50,60,NA,55,57,5,0,NA,NA,TSRA RA BR,NA,NA,NA,0.28,29.42,30.1,2.5,15,7.8
1,5/27/2007,75,57,66,4,47,56,0,1,422,1916,RA BR,0,NA,0,0.04,29.34,30.06,8.9,26,9.5
2,5/27/2007,75,59,67,NA,49,57,0,2,NA,NA,RA BR,NA,NA,NA,0.08,29.41,30.05,8.2,24,9.2
